"Iterations","Rewards","Time","Steps"
"234","4.14","54","88"
"235","4.3","46","72"
"236","4.85","43","17"
"237","2.2700000000000142","48","275"
"238","-5.61","38","63"
"239","4.62","52","40"
"240","-5.14","56","16"
"241","4.83","60","19"
"242","4.6","58","42"
"243","4.6","47","42"
"244","4.47","61","55"
"245","4.79","60","23"
"246","4.74","84","28"
"247","-5.67","40","69"
"248","4.79","47","23"
"249","0.32000000000005535","48","470"
"250","4.79","38","23"
"251","4.71","44","31"
"252","4.7299999999999995","45","29"
"253","4.63","72","39"
"254","4.63","50","39"
"255","4.51","53","51"
"256","3.3499999999999988","54","167"
"257","4.81","54","21"
"258","4.7","46","32"
"259","4.75","50","27"
"260","4.38","58","64"
"261","4.79","80","23"
"262","4.83","50","19"
"263","4.25","57","77"
"264","-12.779999999999879","82","780"
"265","4.4399999999999995","53","58"
"266","4.79","54","23"
"267","4.58","48","44"
"268","4.58","53","44"
"269","4.83","48","19"
"270","4.5","69","52"
"271","4.7","58","32"
"272","4.68","50","34"
"273","4.78","48","24"
"274","4.41","57","61"
"275","4.54","64","48"
"276","4.68","58","34"
"277","4.7299999999999995","53","29"
"278","4.359999999999999","86","66"
"279","4.68","62","34"
"280","4.4799999999999995","56","54"
"281","-5.430000000000001","67","45"
"282","4.82","71","20"
"283","4.76","63","26"
"284","-5.32","82","34"
"285","4.74","69","28"
"286","-5.19","77","21"
"287","4.7299999999999995","67","29"
"288","3.9299999999999993","64","109"
"289","3.6599999999999993","64","136"
"290","-5.2","61","22"
"291","3.0499999999999985","63","197"
"292","3.639999999999999","52","138"
"293","4.78","56","24"
"294","4.43","54","59"
"295","4.83","73","19"
"296","4.529999999999999","86","49"
"297","4.14","72","88"
"298","4.7299999999999995","74","29"
"299","4.66","62","36"
"300","-6.360000000000001","49","138"
"301","1.3500000000000338","62","367"
"302","4.7299999999999995","74","29"
"303","4.609999999999999","59","41"
"304","3.539999999999999","68","148"
"305","4.27","74","75"
"306","4.75","52","27"
"307","4.52","57","50"
"308","4.7","82","32"
"309","4.82","82","20"
"310","4.129999999999999","99","89"
"311","4.8","64","22"
"312","-5.24","51","26"
"313","4.81","61","21"
